1S_1,#genre#
 627 Flou Cine,https://amg01768-flou-flou-canelatv-yri41.amagi.tv/playlist/amg01768-flou-flou-canelatv/cb543d167c6c648b9cd43e60d1ef45a6f99553fc087a8d6933fb4b926bc10f41f9e5af86a540ff1902cb5d81385e7d505e6cdb1bdd7c03cfbc0bae51486c6531c3c4e664bde27308acda0d2b2bb27e0051fe0f1ec062153b99c80a188938827c0738e11d210361daf35aab664abef86ef603359bf1843a6c6d2d0acc0602fcb038f6bda2041a8673a5af1c58e67707b8df17d6d51ebf9ed44598408071ef159f91e0f68c42dbdac473ca06e4351b516d28cad737c09f1ff283cf3c61c4237c115304b1f391b31f6d83410e04a8ad99f236a9419ddc24833035ef55c115f75ae66cae19b5de4dafa3a8da4c554bc7ae3a307dd78fd08bff267dba62ebb0d6de7c728af31a6c35aa07b973716cfa8cca10978d1486a61c96a0660f3dff845797efcde992b8995e8c369088bb8f2a550060050c8351a3d479cd66d97dbec710244f172bc7f254c095975934725df4e334b54341d2b1ef84db1e29b803713bb83ab731626dc8272265ea2f8bf9560dd97c70ef453cff4b7b8447eab12ff098ccec022fbdaca1289b3ebded5a88a768c46c384a4ca0fb385a7a5c7cd7eb144d5a07cb51f0c3d9a4240845bef188acc6442f10771453028eeee63e8f98857b1b4cbc394c617003599101d86dda123b6f44a410dcb8366795032224e0ae3a59003ffca5b0859498ce41a376d0cac2302b491b09fd355c756cd0b7d95ca93913782859d65c3640ee055e12ee9698e09ad0689bcf34f049087e62c1e359481a6d7f621ee9f302b60eb8e377d09ace4f82ec820255844ec06b71ce8aa7068bec85d4010b95bc5e1a62a8df26cb7438c610d159ecb812dda30f7e7652414cd1c041ec60a9cd93d12a9935df29691abb61b592b9f1bc0857e382043223196a156a5c722009caaabf0a0374e1f224e753e3e754e74d4027653db4f3015a95a673198a3c7d659aa8ce82aac21762af0497229b3059d23d673bf2f328f88aa4f2f99e1d326abde7b242b5fbf3eba1d7ce35301865249efe51547add549ae66fe2ac1379e3889ff3e888f61f935d4417254f9e5e8df3fe68839585f7f87865263035d2e087379046de70289574c9592558bd87e1e66cf8dbc668107c8973e475069d3f7249c0a7f70b8a5fd06ca5be86f50a7afa5548a9c3f02714dd2dab21781a9ba8d33b6b99935dd425c9e4df3fd0f41b79bd6727b3e27239e69750cfabcd320d54ff02048d38a9c7d7485c60bc977f1ffd6c66d668fc4f4625e8326bea4ffcb4a2f94429801492547f9e77abd058aea64cbfa09fb3fcb66837ffc52d40a223a729ac2ac2ddc0cc1395022ff83ac04b33f2918cae99b787a0d9965e7b0886489e3ecd74b1cfbdde20555d348d597b0203d429ee27451398cd5ecfe76a6985d5f24a83305157111d3fc156ead24508662b9be97098923b303d2260a69555e144fa1459d7175ab218661e1a476140a496df12917c8f20ffa70f7288efd08328e3be30d798f484eb1a72a258441a1081d69635632dd10b1bbc6313a2cd3dc667ea/48/848x480_1686360/index.m3u8
 804 ITV Deportes,https://thm-it-roku.otteravision.com/thm/it/it.m3u8
 806 Red Bull TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8
 808 FIFA +,https://8deea4ad.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/U2Ftc3VuZy1lc19GSUZBUGx1c19ITFM/playlist.m3u8
 809 beIN Sports Xtra,https://lnc-bein-espanol.tubi.video/playlist.m3u8
 838 Futbol MX y otros,https://linear-438.frequency.stream/mt/studio/438/hls/master/playlist.m3u8
 839 Futbol MX y otros,https://linear-439.frequency.stream/mt/studio/439/hls/master/playlist.m3u8
 840 Futbol MX y otros,https://linear-440.frequency.stream/mt/studio/440/hls/master/playlist.m3u8
 841 Futbol MX y otros,https://linear-441.frequency.stream/mt/studio/441/hls/master/playlist.m3u8
 842 Futbol MX y otros,https://linear-442.frequency.stream/mt/studio/442/hls/master/playlist.m3u8
 870 Futbol MX y otros,https://linear-370.frequency.stream/mt/studio/370/hls/master/playlist.m3u8
 871 Futbol MX y otros,https://linear-371.frequency.stream/mt/studio/371/hls/master/playlist.m3u8
 872 Futbol MX y otros,https://linear-372.frequency.stream/mt/studio/372/hls/master/playlist.m3u8
 873 Futbol MX y otros,https://linear-373.frequency.stream/mt/studio/373/hls/master/playlist.m3u8
 874 Futbol MX y otros,https://linear-374.frequency.stream/mt/studio/374/hls/master/playlist.m3u8
 875 Futbol MX y otros,https://linear-375.frequency.stream/mt/studio/375/hls/master/playlist.m3u8
 876 Futbol MX y otros,https://linear-376.frequency.stream/mt/studio/376/hls/master/playlist.m3u8
 877 Futbol MX y otros,https://linear-377.frequency.stream/mt/studio/377/hls/master/playlist.m3u8
 878 Futbol MX y otros,https://linear-378.frequency.stream/mt/studio/378/hls/master/playlist.m3u8
 879 Futbol MX y otros,https://linear-379.frequency.stream/mt/studio/379/hls/master/playlist.m3u8
 881 Futbol MX y otros,https://linear-381.frequency.stream/mt/studio/381/hls/master/playlist.m3u8
 883 Futbol MX y otros,https://linear-383.frequency.stream/mt/studio/383/hls/master/playlist.m3u8
 884 Futbol MX y otros,https://linear-384.frequency.stream/mt/studio/384/hls/master/playlist.m3u8
 885 Futbol MX y otros,https://linear-385.frequency.stream/mt/studio/385/hls/master/playlist.m3u8
 886 Futbol MX y otros,https://linear-386.frequency.stream/mt/studio/386/hls/master/playlist.m3u8
 901 Rubias,http://live.adultiptv.net/blonde.m3u8
 902 Latinas,http://live.adultiptv.net/latina.m3u8
 903 Aperladas,http://live.adultiptv.net/brunette.m3u8
 904 Rusas,http://live.adultiptv.net/russian.m3u8
 905 Asíaticas,http://live.adultiptv.net/asian.m3u8
 906 Estilo juvenil,http://live.adultiptv.net/teen.m3u8
 907 Entre chicas,http://live.adultiptv.net/lesbian.m3u8
 908 Estrellas,http://live.adultiptv.net/pornstar.m3u8
 909 Fetiche,http://live.adultiptv.net/fetish.m3u8
 910 Primera persona,http://live.adultiptv.net/pov.m3u8
